***********************************************************************************************************************
*    Row   * Instance *      jtpt *     refpt * chargedSu * photonSum * neutralSu *      eSum *     muSum *  trackSum *
*   104051 *        1 * 55.093917 * 63.952472 * 0.6743019 * 50.754352 * 8.0336408 *         0 *         0 * 0.6743019 *
*   105431 *        0 * 58.270446 * 56.913505 * 11.369284 * 12.645830 * 22.924778 *         0 *         0 * 11.369284 *
*   105956 *        0 * 51.740501 * 50.382373 * 18.857641 * 24.673769 * 1.0589609 *         0 *         0 * 18.857639 *
*   110551 *       11 * 42.036361 * 52.588573 * 50.605663 * 33.865108 *         0 *         0 *         0 * 50.605659 *
*   115090 *        0 * 55.201664 * 62.162967 * 13.811727 * 21.439453 *         0 * 10.738114 *         0 * 19.507432 *
*   119021 *        0 * 77.037246 * 73.232940 * 36.610809 * 29.201862 * 1.7176973 *         0 *         0 * 36.610809 *
*   121623 *        1 * 64.299514 * 67.561355 * 29.133695 * 27.931255 *         0 *         0 *         0 * 29.133693 *
*   123161 *        1 * 44.074543 * 50.614223 * 7.2828111 * 30.364067 * 1.9252816 *         0 *         0 * 7.2828111 *
*   123918 *        0 * 56.438430 * 58.033664 * 42.601150 * 3.8213920 * 1.1109170 *         0 *         0 * 42.601150 *
*   135348 *        0 * 42.829475 * 50.509407 * 16.444181 * 34.022125 * 2.9144237 *         0 *         0 * 16.444183 *
*   140642 *        0 * 29.854707 * 52.022129 * 15.352493 * 28.883493 * 4.1103439 *         0 *         0 * 15.352493 *
*   148040 *        1 * 89.412689 * 95.884300 * 57.018104 * 20.931337 *         0 *         0 *         0 * 57.018104 *
*   149071 *        0 * 61.457508 * 54.583953 *         0 * 1.5847843 * 56.570579 *         0 *         0 *         0 *
*   149071 *        1 * 58.460445 * 63.011253 * 35.813415 * 9.9649677 * 6.9079060 *         0 *         0 * 35.813415 *
*   149951 *        2 * 71.131263 * 52.296814 * 55.768142 * 6.9086961 *         0 *         0 *         0 * 55.768142 *
*   151551 *        0 * 64.335464 * 57.721839 * 46.790599 * 10.792086 *         0 *         0 *         0 * 46.790599 *
*   153117 *        0 * 57.440902 * 55.689388 * 36.094200 * 18.240198 *         0 *         0 *         0 * 36.094200 *
*   156435 *        0 * 63.799751 * 56.261840 * 2.0172548 * 24.833440 * 13.418048 *         0 * 12.288085 * 2.0172548 *
*   158273 *        1 * 47.455337 * 64.400619 * 15.656066 * 21.367786 * 2.3297479 *         0 *         0 * 15.656066 *
*   158869 *        2 * 38.759819 * 75.759071 * 34.323692 * 16.264164 *         0 *         0 *         0 * 34.323692 *
*   162583 *        0 * 46.332363 * 58.321472 * 7.9402837 * 25.902526 * 4.7603349 *         0 *         0 * 7.9402837 *
*   163676 *        0 * 38.092769 * 51.581012 * 22.283329 * 13.241952 * 0.8909811 *         0 *         0 * 22.283329 *
*   165289 *        1 * 38.621685 * 53.147022 * 17.633873 * 29.392416 *         0 *         0 *         0 * 17.633874 *
*   167362 *        0 * 61.832176 * 60.697380 * 32.889587 * 17.904663 *         0 *         0 *         0 * 32.889591 *
*   167362 *        1 * 45.817825 * 51.169097 * 15.349155 * 16.923397 * 9.3416986 *         0 *         0 * 15.349155 *
*   174500 *        0 * 42.807758 * 55.283805 * 23.391405 * 11.514394 * 6.7828822 *         0 *         0 * 23.391405 *
*   177249 *        0 * 72.679908 * 65.444221 * 13.002508 * 25.731546 * 17.109094 *         0 *         0 * 13.002508 *
*   178295 *        0 * 58.784252 * 66.740745 * 42.315467 * 29.479988 *         0 *         0 *         0 * 42.315460 *
*   178295 *        1 * 44.614269 * 53.186317 * 23.948881 * 19.870399 * 16.589601 *         0 *         0 * 23.948881 *
*   178511 *        2 * 69.620124 * 66.602035 * 38.659126 * 19.609943 * 10.358347 *         0 *         0 * 38.659122 *
*   183088 *        0 * 84.879135 * 76.437179 * 54.657966 * 12.359666 * 7.8892316 *         0 *         0 * 54.657970 *
*   183472 *        1 * 48.264949 * 54.474292 * 23.098575 * 20.860778 * 1.8666518 *         0 *         0 * 23.098577 *
*   184453 *        0 * 66.751640 * 66.671974 * 28.898336 * 35.716640 *         0 *         0 *         0 * 28.898336 *
*   185838 *        1 * 66.023407 * 67.165939 * 60.030384 * 9.7811355 *         0 *         0 *         0 * 60.030384 *
*   190565 *        0 * 47.083320 * 53.108802 * 12.332271 * 16.941608 * 11.813216 *         0 *         0 * 12.332270 *
*   197568 *        0 * 53.868766 * 62.286865 * 15.273722 * 11.947567 * 16.387954 *         0 *         0 * 15.273722 *
*   199095 *        1 * 86.207672 * 101.82778 * 25.986373 * 59.801693 * 0.7397663 *         0 *         0 * 25.986375 *
*   199095 *        2 * 53.251388 * 51.372627 * 26.350702 * 13.185526 * 5.4377822 *         0 *         0 * 26.350702 *
*   199388 *        0 * 58.139595 * 60.741947 * 26.041294 * 35.181434 *         0 *         0 *         0 * 26.041294 *
